id,repdem,libcon
19323,Independent (Lean toward the Democratic Party),Moderate
19331,Independent,Moderate
19338,Independent (Lean toward the Democratic Party),Slightly liberal
19339,Independent (Lean toward the Democratic Party),Extremely liberal
19344,Independent,Moderate
19345,Independent (Lean toward the Democratic Party),Moderate
19346,Democrat (Strongly Democratic),Extremely liberal
19348,Democrat (Strongly Democratic),Liberal
19351,Democrat (Weakly Democratic),Slightly liberal
19353,Independent,Moderate
19354,Republican (Weakly Republican),Moderate
19364,Republican (Weakly Republican),Moderate
19371,Independent,Conservative
19377,Democrat (Strongly Democratic),Extremely liberal
19386,Republican (Strongly Republican),Conservative
19388,Republican (Weakly Republican),Conservative
19397,Democrat (Strongly Democratic),Moderate
19402,Republican (Strongly Republican),Extremely conservative
19407,Republican (Strongly Republican),Liberal
19414,Independent (Lean toward the Republican Party),Slightly conservative
19415,Democrat (Strongly Democratic),Extremely liberal
19417,Democrat (Strongly Democratic),Liberal
19429,Republican (Strongly Republican),Extremely conservative
19431,Independent (Lean toward the Republican Party),Conservative
19434,Democrat (Strongly Democratic),Extremely liberal
19437,Democrat (Strongly Democratic),Extremely liberal
19441,Democrat (Weakly Democratic),Moderate
19446,Democrat (Strongly Democratic),Liberal
19451,Independent (Lean toward the Democratic Party),Slightly liberal
19454,Democrat (Weakly Democratic),Liberal
19456,Independent (Lean toward the Democratic Party),Liberal
19460,Democrat (Weakly Democratic),Slightly liberal
19462,Independent,Slightly liberal
19464,Democrat (Strongly Democratic),Liberal
19492,Democrat (Strongly Democratic),Liberal
19493,Independent (Lean toward the Republican Party),Slightly conservative
19495,Independent (Lean toward the Democratic Party),Slightly liberal
19498,Independent,Moderate
19503,Independent (Lean toward the Democratic Party),Liberal
19505,Democrat (Weakly Democratic),Slightly conservative
19507,Republican (Strongly Republican),Extremely conservative
19509,Democrat (Strongly Democratic),Liberal
19510,Republican (Weakly Republican),Moderate
19513,Democrat (Strongly Democratic),Extremely liberal
19514,Independent,Liberal
19516,Independent (Lean toward the Democratic Party),Slightly liberal
19522,Republican (Weakly Republican),Conservative
19526,Democrat (Strongly Democratic),Liberal
19533,Independent,Slightly liberal
19534,Republican (Weakly Republican),Slightly conservative
19536,Democrat (Weakly Democratic),Liberal
19538,Independent,Moderate
19545,Democrat (Weakly Democratic),Extremely liberal
19546,Democrat (Strongly Democratic),Moderate
19550,Democrat (Strongly Democratic),Extremely liberal
19553,Democrat (Weakly Democratic),Slightly liberal
19565,Democrat (Strongly Democratic),Liberal
19569,Independent (Lean toward the Democratic Party),Slightly liberal
19571,Republican (Weakly Republican),Liberal
19576,Democrat (Strongly Democratic),Moderate
19579,Republican (Strongly Republican),Conservative
19582,Democrat (Strongly Democratic),Liberal
19584,Democrat (Weakly Democratic),Liberal
19586,Independent (Lean toward the Democratic Party),Liberal
19596,Democrat (Strongly Democratic),Liberal
19597,Democrat (Strongly Democratic),Liberal
19599,Independent (Lean toward the Republican Party),Slightly conservative
19605,Democrat (Weakly Democratic),Moderate
19609,Democrat (Strongly Democratic),Liberal
19613,Democrat (Weakly Democratic),Moderate
19615,Independent,Extremely conservative
19624,Democrat (Weakly Democratic),Liberal
19625,Independent,Conservative
19627,Democrat (Strongly Democratic),Extremely liberal
19631,Independent (Lean toward the Republican Party),Slightly liberal
19638,Independent (Lean toward the Democratic Party),Moderate
19640,Democrat (Strongly Democratic),Liberal
19642,Democrat (Weakly Democratic),Moderate
19649,Democrat (Weakly Democratic),Liberal
19651,Democrat (Strongly Democratic),Liberal
19654,Independent (Lean toward the Democratic Party),Slightly liberal
19665,Democrat (Strongly Democratic),Liberal
19669,Independent (Lean toward the Democratic Party),Slightly liberal
19670,Independent (Lean toward the Republican Party),Conservative
19671,Independent (Lean toward the Republican Party),Moderate
19672,Independent,Conservative
19675,Independent (Lean toward the Democratic Party),Slightly liberal
19679,Independent,Liberal
19683,Democrat (Strongly Democratic),Slightly liberal
19685,Democrat (Weakly Democratic),Liberal
19690,Republican (Weakly Republican),Slightly conservative
19691,Independent (Lean toward the Republican Party),Conservative
19693,Democrat (Strongly Democratic),Slightly liberal
19694,Independent,Conservative
19696,Independent (Lean toward the Democratic Party),Liberal
19699,Independent (Lean toward the Republican Party),Conservative
19701,Democrat (Strongly Democratic),Extremely liberal
19703,Independent (Lean toward the Republican Party),Conservative
19705,Independent (Lean toward the Democratic Party),Extremely liberal
19709,Democrat (Weakly Democratic),Moderate
19710,Democrat (Strongly Democratic),Liberal
19713,Democrat (Strongly Democratic),Extremely liberal
19714,Republican (Weakly Republican),Slightly liberal
19715,Independent,Slightly liberal
19722,Republican (Strongly Republican),Conservative
19731,Independent (Lean toward the Democratic Party),Extremely liberal
19732,Independent (Lean toward the Republican Party),Slightly conservative
19740,Republican (Weakly Republican),Slightly conservative
19760,Democrat (Strongly Democratic),Liberal
19767,Independent,Slightly conservative
19771,Independent (Lean toward the Democratic Party),Slightly liberal
19774,Republican (Strongly Republican),Extremely conservative
19775,Independent,Liberal
19776,Democrat (Strongly Democratic),Extremely liberal
19779,Democrat (Strongly Democratic),Liberal
19784,Democrat (Strongly Democratic),Liberal
19786,Independent (Lean toward the Republican Party),Slightly conservative
19789,Independent,Liberal
19793,Democrat (Strongly Democratic),Extremely liberal
19794,Independent,Extremely liberal
19796,Democrat (Strongly Democratic),Liberal
19798,Independent (Lean toward the Democratic Party),Slightly liberal
19804,Independent,Moderate
19811,Independent (Lean toward the Republican Party),Moderate
19813,Independent (Lean toward the Democratic Party),Moderate
19820,Republican (Weakly Republican),Slightly liberal
19821,Independent,Moderate
19826,Independent,Moderate
19827,Democrat (Strongly Democratic),Extremely liberal
19830,Independent,Slightly conservative
19834,Independent (Lean toward the Republican Party),Conservative
19843,Independent (Lean toward the Democratic Party),Liberal
19848,Republican (Weakly Republican),Moderate
19851,Independent (Lean toward the Democratic Party),Liberal
19854,Republican (Strongly Republican),Extremely conservative
19857,Democrat (Strongly Democratic),Liberal
19859,Independent,Moderate
19862,Independent (Lean toward the Democratic Party),Slightly liberal
19867,Democrat (Strongly Democratic),Extremely liberal
19878,Democrat (Strongly Democratic),Extremely liberal
19881,Democrat (Strongly Democratic),Extremely liberal
19882,Democrat (Strongly Democratic),Liberal
19883,Democrat (Strongly Democratic),Liberal
19884,Democrat (Strongly Democratic),Extremely liberal
19885,Republican (Weakly Republican),Slightly conservative
19887,Independent,Moderate
19894,Democrat (Strongly Democratic),Extremely liberal
19904,Democrat (Strongly Democratic),Liberal
19908,Democrat (Strongly Democratic),Liberal
19912,Democrat (Weakly Democratic),Liberal
19917,Democrat (Weakly Democratic),Slightly liberal
19921,Democrat (Strongly Democratic),Liberal
19927,Independent (Lean toward the Democratic Party),Liberal
19932,Independent (Lean toward the Democratic Party),Liberal
19934,Independent (Lean toward the Republican Party),Conservative
19938,Independent (Lean toward the Democratic Party),Extremely liberal
19939,Democrat (Strongly Democratic),Liberal
19941,Independent (Lean toward the Republican Party),Slightly conservative
19944,Independent,Extremely liberal
19949,Republican (Weakly Republican),Moderate
19952,Independent (Lean toward the Republican Party),Moderate
19963,Democrat (Strongly Democratic),Moderate
19964,Democrat (Strongly Democratic),Moderate
19965,Democrat (Strongly Democratic),Moderate
19979,Democrat (Strongly Democratic),Liberal
19982,Democrat (Strongly Democratic),Liberal
19988,Republican (Strongly Republican),Conservative
19990,Democrat (Strongly Democratic),Liberal
19992,Republican (Weakly Republican),Moderate
20002,Republican (Weakly Republican),Conservative
20009,Independent (Lean toward the Democratic Party),Slightly liberal
20010,Democrat (Weakly Democratic),Liberal
20019,Independent (Lean toward the Republican Party),Slightly liberal
20024,Independent (Lean toward the Republican Party),Conservative
20025,Independent,Slightly liberal
20033,Independent (Lean toward the Democratic Party),Moderate
20035,Democrat (Strongly Democratic),Slightly liberal
20036,Republican (Strongly Republican),Conservative
20038,Independent (Lean toward the Republican Party),Conservative
20039,Independent (Lean toward the Democratic Party),Extremely liberal
20040,Democrat (Weakly Democratic),Slightly liberal
20047,Independent (Lean toward the Democratic Party),Liberal
20048,Democrat (Weakly Democratic),Liberal
20049,Independent (Lean toward the Democratic Party),Liberal
20050,Independent (Lean toward the Republican Party),Moderate
20051,Republican (Weakly Republican),Moderate
20052,Independent (Lean toward the Republican Party),Slightly conservative
20054,Democrat (Strongly Democratic),Liberal
20058,Independent,Liberal
20059,Independent (Lean toward the Democratic Party),Moderate
20066,Republican (Weakly Republican),Slightly conservative
20067,Republican (Strongly Republican),Extremely conservative
20068,Independent,Liberal
20073,Democrat (Weakly Democratic),Liberal
20077,Independent (Lean toward the Democratic Party),Slightly liberal
20078,Independent (Lean toward the Democratic Party),Liberal
20087,Republican (Weakly Republican),Conservative
20088,Republican (Strongly Republican),Conservative
20099,Independent,Liberal
20103,Independent,Slightly conservative
20104,Independent (Lean toward the Democratic Party),Extremely liberal
20106,Republican (Weakly Republican),Slightly conservative
20117,Independent,Moderate
20118,Republican (Strongly Republican),Slightly liberal
20135,Democrat (Weakly Democratic),Moderate
20136,Independent (Lean toward the Democratic Party),Liberal
20137,Independent,Moderate
20138,Independent,Slightly conservative
20141,Independent (Lean toward the Republican Party),Moderate
20150,Independent (Lean toward the Democratic Party),Slightly liberal
20152,Republican (Weakly Republican),Slightly conservative
20164,Democrat (Weakly Democratic),Slightly liberal
20165,Democrat (Strongly Democratic),Slightly liberal
20169,Democrat (Strongly Democratic),Liberal
20170,Democrat (Strongly Democratic),Extremely liberal
20174,Republican (Strongly Republican),Slightly conservative
20175,Democrat (Weakly Democratic),Liberal
20186,Democrat (Strongly Democratic),Extremely liberal
20189,Independent (Lean toward the Republican Party),Moderate
20190,Democrat (Strongly Democratic),Extremely liberal
20199,Independent (Lean toward the Democratic Party),Moderate
20203,Independent,Liberal
20206,Republican (Strongly Republican),Conservative
20209,Democrat (Strongly Democratic),Liberal
20211,Democrat (Strongly Democratic),Liberal
20217,Independent,Moderate
20222,Democrat (Weakly Democratic),Liberal
20227,Democrat (Strongly Democratic),Extremely liberal
20228,Democrat (Strongly Democratic),Extremely liberal
20229,Democrat (Strongly Democratic),Extremely liberal
20239,Independent,Moderate
20243,Republican (Weakly Republican),Moderate
20248,Independent (Lean toward the Republican Party),Moderate
20251,Republican (Weakly Republican),Conservative
20269,Independent (Lean toward the Republican Party),Conservative
20274,Independent,Liberal
20276,Democrat (Strongly Democratic),Liberal
20279,Democrat (Weakly Democratic),Extremely liberal
20284,Republican (Strongly Republican),Conservative
20294,Independent (Lean toward the Democratic Party),Liberal
20296,Democrat (Strongly Democratic),Extremely liberal
20297,Democrat (Weakly Democratic),Slightly liberal
20305,Independent,Moderate
20308,Independent (Lean toward the Republican Party),Conservative
20313,Republican (Weakly Republican),Slightly conservative
20316,Independent,Slightly conservative
20317,Democrat (Strongly Democratic),Liberal
20326,Independent,Slightly conservative
20329,Democrat (Strongly Democratic),Liberal
20334,Democrat (Strongly Democratic),Liberal
20338,Independent,Extremely liberal
20351,Democrat (Strongly Democratic),Liberal
20356,Democrat (Weakly Democratic),Liberal
20358,Independent (Lean toward the Democratic Party),Slightly liberal
20362,Democrat (Strongly Democratic),Liberal
20366,Independent (Lean toward the Republican Party),Slightly conservative
20367,Independent (Lean toward the Republican Party),Slightly conservative
20370,Democrat (Weakly Democratic),Extremely liberal
20372,Democrat (Strongly Democratic),Liberal
20377,Independent (Lean toward the Democratic Party),Liberal
20382,Independent,Moderate
20385,Independent (Lean toward the Democratic Party),Slightly liberal
20386,Democrat (Weakly Democratic),Moderate
20389,Democrat (Strongly Democratic),Liberal
20390,Democrat (Strongly Democratic),Liberal
20399,Independent (Lean toward the Republican Party),Slightly conservative
20400,Independent (Lean toward the Democratic Party),Liberal
20406,Independent (Lean toward the Republican Party),Slightly conservative
20413,Democrat (Weakly Democratic),Moderate
20417,Democrat (Strongly Democratic),Extremely liberal
20418,Democrat (Strongly Democratic),Liberal
20420,Independent (Lean toward the Democratic Party),Liberal
20425,Democrat (Strongly Democratic),Liberal
20431,Independent,Conservative
20437,Democrat (Weakly Democratic),Slightly liberal
20439,Independent (Lean toward the Republican Party),Slightly conservative
20440,Republican (Strongly Republican),Conservative
20446,Democrat (Weakly Democratic),Moderate
20448,Democrat (Strongly Democratic),Moderate
20449,Democrat (Strongly Democratic),Extremely liberal
20455,Republican (Weakly Republican),Conservative
20461,Independent (Lean toward the Democratic Party),Extremely liberal
20472,Independent (Lean toward the Democratic Party),Liberal
20474,Democrat (Strongly Democratic),Moderate
20478,Democrat (Strongly Democratic),Liberal
20480,Democrat (Strongly Democratic),Liberal
20492,Republican (Weakly Republican),Slightly conservative
20500,Republican (Strongly Republican),Conservative
20501,Independent (Lean toward the Republican Party),Moderate
20509,Republican (Weakly Republican),Slightly liberal
20510,Democrat (Weakly Democratic),Liberal
20511,Democrat (Strongly Democratic),Extremely liberal
20512,Republican (Strongly Republican),Extremely conservative
20518,Independent,Moderate
20519,Democrat (Strongly Democratic),Extremely liberal
20522,Independent (Lean toward the Democratic Party),Slightly liberal
20523,Democrat (Strongly Democratic),Extremely liberal
20531,Democrat (Strongly Democratic),Slightly liberal
20540,Democrat (Strongly Democratic),Extremely liberal
20542,Democrat (Weakly Democratic),Liberal
20547,Independent (Lean toward the Democratic Party),Slightly liberal
20548,Independent (Lean toward the Republican Party),Moderate
20554,Independent (Lean toward the Democratic Party),Liberal
20564,Independent (Lean toward the Democratic Party),Liberal
20571,Democrat (Strongly Democratic),Liberal
20572,Republican (Strongly Republican),Extremely conservative
20575,Democrat (Strongly Democratic),Liberal
20578,Independent (Lean toward the Democratic Party),Slightly liberal
20581,Independent (Lean toward the Democratic Party),Slightly liberal
20589,Republican (Weakly Republican),Conservative
20591,Democrat (Weakly Democratic),Liberal
20592,Democrat (Weakly Democratic),Slightly conservative
20595,Democrat (Weakly Democratic),Slightly liberal
20602,Democrat (Strongly Democratic),Liberal
20604,Independent (Lean toward the Democratic Party),Moderate
20612,Democrat (Strongly Democratic),Extremely liberal
20617,Republican (Weakly Republican),Conservative
20618,Independent (Lean toward the Democratic Party),Slightly liberal
20620,Independent,Liberal
20623,Independent (Lean toward the Republican Party),Conservative
20628,Democrat (Weakly Democratic),Moderate
20634,Democrat (Strongly Democratic),Extremely liberal
20636,Democrat (Weakly Democratic),Liberal
20637,Independent,Conservative
20638,Independent (Lean toward the Democratic Party),Moderate
20643,Democrat (Weakly Democratic),Moderate
20644,Democrat (Strongly Democratic),Extremely liberal
20645,Independent (Lean toward the Democratic Party),Liberal
20651,Democrat (Weakly Democratic),Slightly conservative
20654,Democrat (Strongly Democratic),Liberal
20664,Republican (Weakly Republican),Conservative
20665,Republican (Strongly Republican),Conservative
20666,Democrat (Weakly Democratic),Slightly conservative
20670,Republican (Strongly Republican),Conservative
20680,Independent,Slightly liberal
20682,Democrat (Strongly Democratic),Extremely liberal
20690,Republican (Weakly Republican),Moderate
20693,Republican (Weakly Republican),Conservative
20696,Democrat (Strongly Democratic),Liberal
20703,Democrat (Strongly Democratic),Extremely liberal
20706,Democrat (Strongly Democratic),Liberal
20707,Democrat (Strongly Democratic),Liberal
20713,Independent,Conservative
20714,Independent,Slightly conservative
20719,Democrat (Strongly Democratic),Liberal
20720,Independent,Moderate
20722,Republican (Weakly Republican),Slightly liberal
20724,Independent (Lean toward the Democratic Party),Liberal
20726,Republican (Strongly Republican),Moderate
20729,Democrat (Strongly Democratic),Liberal
20739,Independent (Lean toward the Democratic Party),Moderate
20744,Democrat (Strongly Democratic),Moderate
20745,Democrat (Strongly Democratic),Liberal
20749,Independent,Slightly liberal
20757,Democrat (Strongly Democratic),Slightly liberal
20760,Independent (Lean toward the Democratic Party),Liberal
20762,Democrat (Strongly Democratic),Liberal
20763,Democrat (Strongly Democratic),Liberal
20769,Independent,Extremely liberal
20775,Independent (Lean toward the Democratic Party),Slightly liberal
20780,Democrat (Strongly Democratic),Liberal
20789,Democrat (Weakly Democratic),Slightly liberal
20790,Democrat (Strongly Democratic),Moderate
20795,Independent (Lean toward the Democratic Party),Extremely liberal
20805,Independent,Liberal
20807,Republican (Strongly Republican),Extremely conservative
20810,Democrat (Weakly Democratic),Liberal
20817,Independent (Lean toward the Republican Party),Moderate
20818,Democrat (Weakly Democratic),Slightly conservative
20824,Independent (Lean toward the Democratic Party),Liberal
20830,Democrat (Strongly Democratic),Extremely liberal
20835,Republican (Strongly Republican),Extremely conservative
20836,Republican (Weakly Republican),Slightly conservative
20848,Independent (Lean toward the Democratic Party),Liberal
20851,Republican (Strongly Republican),Conservative
20852,Democrat (Strongly Democratic),Extremely liberal
20854,Independent,Moderate
20857,Independent,Moderate
20864,Independent (Lean toward the Democratic Party),Slightly liberal
20866,Independent (Lean toward the Democratic Party),Moderate
20869,Independent,Slightly liberal
20870,Democrat (Weakly Democratic),Liberal
20873,Independent (Lean toward the Republican Party),Moderate
20874,Independent (Lean toward the Democratic Party),Liberal
20876,Democrat (Weakly Democratic),Slightly liberal
20880,Democrat (Strongly Democratic),Extremely liberal
20881,Democrat (Strongly Democratic),Liberal
20887,Independent (Lean toward the Democratic Party),Slightly liberal
20888,Independent,Moderate
20898,Independent (Lean toward the Democratic Party),Slightly liberal
20902,Democrat (Strongly Democratic),Extremely liberal
20909,Democrat (Strongly Democratic),Liberal
20918,Independent (Lean toward the Republican Party),Conservative
20924,Independent (Lean toward the Republican Party),Slightly conservative
20927,Democrat (Strongly Democratic),Liberal
20935,Democrat (Weakly Democratic),Liberal
20936,Independent,Moderate
20960,Democrat (Strongly Democratic),Liberal
20964,Republican (Strongly Republican),Conservative
20968,Independent (Lean toward the Republican Party),Conservative
20970,Independent (Lean toward the Democratic Party),Slightly liberal
20971,Democrat (Strongly Democratic),Liberal
20975,Democrat (Strongly Democratic),Extremely liberal
20987,Independent (Lean toward the Democratic Party),Moderate
20989,Democrat (Weakly Democratic),Moderate
20991,Democrat (Weakly Democratic),Liberal
20993,Democrat (Strongly Democratic),Liberal
20994,Democrat (Strongly Democratic),Extremely liberal
21000,Independent (Lean toward the Democratic Party),Moderate
21007,Independent (Lean toward the Republican Party),Moderate
21012,Democrat (Strongly Democratic),Liberal
21013,Independent,Slightly liberal
21018,Independent,Moderate
21021,Democrat (Strongly Democratic),Extremely liberal
21022,Democrat (Weakly Democratic),Moderate
21027,Democrat (Weakly Democratic),Liberal
21031,Independent (Lean toward the Republican Party),Slightly conservative
21038,Independent (Lean toward the Republican Party),Slightly conservative
21040,Democrat (Strongly Democratic),Extremely liberal
21046,Independent (Lean toward the Democratic Party),Extremely liberal
21048,Republican (Weakly Republican),Liberal
21053,Democrat (Weakly Democratic),Liberal
21054,Democrat (Weakly Democratic),Liberal
21057,Independent,Moderate
21061,Republican (Strongly Republican),Moderate
21062,Republican (Strongly Republican),Conservative
21064,Independent,Slightly liberal
21067,Independent,Slightly conservative
21069,Independent (Lean toward the Democratic Party),Liberal
21070,Independent (Lean toward the Democratic Party),Liberal
21073,Independent (Lean toward the Democratic Party),Moderate
21074,Democrat (Weakly Democratic),Moderate
21075,Democrat (Weakly Democratic),Slightly liberal
21076,Independent (Lean toward the Republican Party),Moderate
21078,Independent (Lean toward the Democratic Party),Slightly conservative
21081,Republican (Weakly Republican),Moderate
21083,Democrat (Strongly Democratic),Liberal
21090,Independent (Lean toward the Democratic Party),Liberal
21091,Independent,Moderate
21092,Independent,Moderate
21101,Democrat (Weakly Democratic),Extremely liberal
21107,Democrat (Weakly Democratic),Slightly liberal
21108,Democrat (Strongly Democratic),Liberal
21109,Independent (Lean toward the Democratic Party),Liberal
21115,Independent (Lean toward the Democratic Party),Liberal
21116,Democrat (Strongly Democratic),Liberal
21120,Independent,Moderate
21130,Independent,Moderate
21132,Independent (Lean toward the Democratic Party),Slightly liberal
21136,Independent,Slightly conservative
21141,Independent (Lean toward the Democratic Party),Extremely liberal
21143,Independent (Lean toward the Democratic Party),Moderate
21146,Independent (Lean toward the Republican Party),Moderate
21147,Republican (Strongly Republican),Extremely conservative
21149,Democrat (Weakly Democratic),Moderate
21150,Democrat (Strongly Democratic),Liberal
21151,Independent (Lean toward the Democratic Party),Moderate
21153,Democrat (Strongly Democratic),Liberal
21160,Democrat (Strongly Democratic),Moderate
21162,Democrat (Strongly Democratic),Liberal
21167,Democrat (Strongly Democratic),Extremely liberal
21171,Independent,Moderate
21174,Republican (Strongly Republican),Conservative
21175,Democrat (Weakly Democratic),Conservative
21178,Independent,Liberal
21184,Republican (Weakly Republican),Slightly conservative
21191,Independent,Liberal
21194,Independent (Lean toward the Democratic Party),Liberal
21196,Independent,Moderate
21204,Democrat (Strongly Democratic),Liberal
21205,Independent,Moderate
21214,Independent (Lean toward the Republican Party),Slightly conservative
21216,Independent (Lean toward the Republican Party),Conservative
21220,Independent (Lean toward the Democratic Party),Slightly liberal
21222,Democrat (Weakly Democratic),Slightly liberal
21225,Independent (Lean toward the Democratic Party),Moderate
21228,Independent (Lean toward the Democratic Party),Slightly liberal
21230,Republican (Strongly Republican),Conservative
21231,Democrat (Strongly Democratic),Extremely liberal
21238,Independent,Moderate
21240,Republican (Weakly Republican),Liberal
21242,Republican (Weakly Republican),Conservative
21243,Independent,Slightly liberal
21245,Democrat (Weakly Democratic),Slightly liberal
21256,Democrat (Weakly Democratic),Liberal
21261,Independent (Lean toward the Democratic Party),Slightly liberal
21262,Independent,Moderate
21265,Independent (Lean toward the Democratic Party),Moderate
21267,Independent,Slightly liberal
21269,Democrat (Strongly Democratic),Liberal
21270,Democrat (Strongly Democratic),Liberal
21272,Republican (Weakly Republican),Extremely conservative
21275,Democrat (Strongly Democratic),Liberal
21279,Independent (Lean toward the Democratic Party),Moderate
21281,Democrat (Strongly Democratic),Extremely liberal
21283,Independent (Lean toward the Republican Party),Slightly conservative
21285,Democrat (Strongly Democratic),Extremely liberal
21291,Independent (Lean toward the Democratic Party),Moderate
21292,Democrat (Strongly Democratic),Liberal
21294,Republican (Weakly Republican),Conservative
21297,Democrat (Strongly Democratic),Extremely liberal
21298,Independent (Lean toward the Republican Party),Conservative
21303,Independent (Lean toward the Democratic Party),Moderate
21314,Independent (Lean toward the Republican Party),Conservative
21315,Independent (Lean toward the Democratic Party),Slightly liberal
21316,Republican (Weakly Republican),Moderate
21320,Independent (Lean toward the Democratic Party),Liberal
21322,Democrat (Weakly Democratic),Slightly conservative
21326,Democrat (Strongly Democratic),Liberal
21332,Republican (Weakly Republican),Conservative
21333,Democrat (Strongly Democratic),Liberal
21336,Independent,Moderate
21339,Independent,Slightly conservative
21349,Independent (Lean toward the Democratic Party),Liberal
21350,Independent (Lean toward the Democratic Party),Slightly liberal
21357,Democrat (Strongly Democratic),Extremely liberal
21358,Independent (Lean toward the Democratic Party),Moderate
21360,Independent (Lean toward the Republican Party),Slightly conservative
21361,Democrat (Strongly Democratic),Extremely liberal
21368,Independent (Lean toward the Democratic Party),Liberal
21372,Independent,Moderate
21380,Democrat (Strongly Democratic),Extremely liberal
21386,Independent,Extremely liberal
21387,Independent,Moderate
21388,Independent (Lean toward the Democratic Party),Liberal
21391,Republican (Strongly Republican),Slightly liberal
21393,Democrat (Weakly Democratic),Slightly liberal
21394,Democrat (Weakly Democratic),Slightly liberal
21397,Republican (Strongly Republican),Extremely conservative
21400,Democrat (Strongly Democratic),Extremely liberal
21409,Independent,Moderate
21412,Independent (Lean toward the Democratic Party),Slightly liberal
21420,Independent (Lean toward the Democratic Party),Liberal
21429,Independent (Lean toward the Democratic Party),Liberal
21433,Democrat (Weakly Democratic),Liberal
21443,Democrat (Weakly Democratic),Liberal
21445,Democrat (Strongly Democratic),Extremely liberal
21449,Independent (Lean toward the Republican Party),Slightly conservative
21456,Independent (Lean toward the Republican Party),Conservative
21459,Democrat (Weakly Democratic),Slightly liberal
21465,Democrat (Strongly Democratic),Extremely liberal
21467,Independent (Lean toward the Democratic Party),Slightly liberal
21474,Democrat (Strongly Democratic),Moderate
21481,Independent (Lean toward the Democratic Party),Slightly liberal
21483,Republican (Strongly Republican),Liberal
21484,Independent,Slightly conservative
21488,Independent (Lean toward the Democratic Party),Slightly conservative
21489,Democrat (Strongly Democratic),Liberal
21491,Independent,Slightly conservative
21492,Independent (Lean toward the Republican Party),Conservative
21493,Democrat (Strongly Democratic),Liberal
21494,Independent (Lean toward the Republican Party),Slightly conservative
21503,Independent (Lean toward the Democratic Party),Liberal
21506,Independent,Slightly conservative
21508,Democrat (Strongly Democratic),Conservative
21513,Independent (Lean toward the Democratic Party),Extremely liberal
21515,Independent (Lean toward the Democratic Party),Slightly liberal
21526,Democrat (Strongly Democratic),Extremely liberal
21531,Independent (Lean toward the Democratic Party),Slightly liberal
21532,Republican (Strongly Republican),Conservative
21535,Democrat (Weakly Democratic),Slightly liberal
21536,Democrat (Strongly Democratic),Liberal
21542,Republican (Weakly Republican),Slightly conservative
21543,Democrat (Strongly Democratic),Extremely liberal
21551,Democrat (Strongly Democratic),Liberal
21555,Independent (Lean toward the Democratic Party),Moderate
21559,Democrat (Weakly Democratic),Extremely liberal
21561,Independent (Lean toward the Democratic Party),Liberal
21563,Independent,Conservative
21566,Independent,Moderate
21567,Republican (Strongly Republican),Extremely conservative
21568,Republican (Weakly Republican),Conservative
21571,Democrat (Weakly Democratic),Slightly liberal
21573,Republican (Strongly Republican),Conservative
21578,Republican (Strongly Republican),Conservative
21580,Democrat (Weakly Democratic),Moderate
21581,Republican (Strongly Republican),Moderate
21586,Democrat (Weakly Democratic),Moderate
21588,Independent (Lean toward the Republican Party),Slightly liberal
21590,Republican (Strongly Republican),Liberal
21597,Republican (Strongly Republican),Moderate
21599,Republican (Weakly Republican),Slightly conservative
21601,Republican (Weakly Republican),Slightly conservative
21604,Republican (Strongly Republican),Conservative
21605,Independent,Moderate
21609,Democrat (Strongly Democratic),Extremely liberal
21613,Democrat (Strongly Democratic),Extremely liberal
21614,Independent,Moderate
21616,Democrat (Strongly Democratic),Liberal
21621,Democrat (Strongly Democratic),Liberal
21623,Republican (Strongly Republican),Conservative
21624,Republican (Strongly Republican),Conservative
21625,Independent,Liberal
21626,Independent (Lean toward the Democratic Party),Slightly liberal
21641,Democrat (Strongly Democratic),Extremely liberal
21643,Republican (Strongly Republican),Slightly conservative
21662,Republican (Strongly Republican),Conservative
21665,Independent (Lean toward the Republican Party),Conservative
21676,Republican (Weakly Republican),Slightly conservative
21678,Independent (Lean toward the Republican Party),Conservative
21682,Republican (Weakly Republican),Conservative
21685,Independent (Lean toward the Democratic Party),Slightly liberal
21687,Republican (Strongly Republican),Moderate
21694,Democrat (Strongly Democratic),Liberal
21695,Independent,Moderate
21696,Democrat (Weakly Democratic),Moderate
21697,Independent (Lean toward the Democratic Party),Extremely liberal
21702,Democrat (Strongly Democratic),Liberal
21704,Independent,Slightly liberal
21706,Republican (Weakly Republican),Conservative
21709,Independent,Slightly conservative
21713,Republican (Strongly Republican),Conservative
21720,Democrat (Strongly Democratic),Liberal
21723,Independent (Lean toward the Republican Party),Slightly conservative
21726,Democrat (Strongly Democratic),Liberal
21727,Independent (Lean toward the Democratic Party),Liberal
21732,Independent (Lean toward the Democratic Party),Liberal
21734,Republican (Weakly Republican),Conservative
21735,Independent (Lean toward the Republican Party),Slightly conservative
21737,Democrat (Strongly Democratic),Extremely liberal
21746,Democrat (Weakly Democratic),Liberal
21753,Democrat (Weakly Democratic),Liberal
21756,Independent,Moderate
21764,Independent (Lean toward the Democratic Party),Extremely liberal
21770,Republican (Weakly Republican),Slightly conservative
21776,Democrat (Strongly Democratic),Liberal
21779,Independent (Lean toward the Democratic Party),Slightly liberal
21795,Democrat (Strongly Democratic),Liberal
21801,Democrat (Strongly Democratic),Extremely liberal
21804,Democrat (Weakly Democratic),Liberal
21807,Independent,Liberal
21811,Independent (Lean toward the Democratic Party),Liberal
21813,Democrat (Weakly Democratic),Slightly liberal
